code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,disability,total_dataplus_clicks,total_dualpane_clicks,total_external_quiz_clicks,total_folder_clicks,total_forum_clicks,total_glossary_clicks,total_homepage_clicks,total_hrml_clicks,total_collaborate_clicks,total_content_clicks,total_elluminate_clicks,total_wiki_clicks,total_page_clicks,total_questionnaire_clicks,total_quiz_clicks,total_repeated_clicks,total_resource_clicks,total_shared_clicks,total_subpage_clicks,total_url_clicks,total_activities,total_clicks,label
BBB,2013-Feb,553800,F,London Region,Lower Than A Level,60-70%,0-35,N,1,17,2,1,1,0,0,7,1,9,0,0,1,0,0,0,0,55,1,2,24,98,Fail
BBB,2013-Feb,553807,F,South East Region,Lower Than A Level,30-40%,35-55,Y,1,34,19,0,2,0,0,176,0,206,0,0,1,0,0,0,0,80,0,21,72,540,Withdrawn
BBB,2013-Feb,553840,F,North Western Region,A Level or Equivalent,30-40%,35-55,Y,0,44,25,0,2,0,0,368,1,158,1,0,0,0,0,0,0,68,1,17,96,685,Distinction
BBB,2013-Feb,553938,F,East Anglian Region,HE Qualification,40-50%,0-35,N,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,7,7,Withdrawn
BBB,2013-Feb,554068,F,East Anglian Region,HE Qualification,80-90%,35-55,N,0,61,21,0,2,1,0,158,0,103,0,0,0,1,1,0,0,36,1,14,50,399,Fail
BBB,2013-Feb,554083,F,South Region,A Level or Equivalent,50-60%,35-55,N,0,76,14,0,2,0,0,177,1,201,0,1,0,1,0,0,0,76,2,74,99,625,Pass
BBB,2013-Feb,554139,F,Scotland,HE Qualification,40-50%,0-35,N,0,10,0,1,1,0,0,0,0,13,1,1,0,0,0,0,0,0,1,5,20,33,Fail
BBB,2013-Feb,554203,F,London Region,No Formal quals,60-70%,0-35,N,0,25,6,1,1,0,0,185,1,40,0,0,1,0,0,0,0,18,1,7,28,286,Withdrawn
BBB,2013-Feb,554206,F,Wales,Lower Than A Level,20-30%,0-35,Y,1,64,2,1,1,0,0,108,2,153,0,0,0,0,0,1,0,81,0,18,70,432,Pass
BBB,2013-Feb,554226,M,South Region,Lower Than A Level,10-20%,0-35,N,1,85,11,2,0,0,0,1095,2,248,0,0,0,5,0,0,0,121,1,51,89,1622,Pass
BBB,2013-Feb,554294,F,Scotland,A Level or Equivalent,80-90%,0-35,N,0,1,0,1,1,0,0,13,0,8,0,1,0,0,1,0,0,17,2,1,13,46,Fail
BBB,2013-Feb,554336,F,Yorkshire Region,HE Qualification,30-40%,0-35,N,0,34,4,1,1,0,0,383,0,149,0,0,0,0,0,0,0,68,1,13,72,654,Pass
BBB,2013-Feb,554344,F,Scotland,Lower Than A Level,30-40%,0-35,N,1,34,4,1,1,0,0,159,0,88,0,1,0,0,0,0,0,120,1,20,67,430,Distinction
BBB,2013-Feb,554352,F,Wales,Lower Than A Level,70-80%,0-35,N,2,47,8,1,1,0,0,362,0,180,0,0,0,1,0,1,0,90,1,15,100,709,Pass
BBB,2013-Feb,554374,F,London Region,A Level or Equivalent,30-40%,0-35,N,0,6,7,1,1,0,0,19,1,52,0,0,0,0,0,0,0,71,2,2,39,162,Distinction
BBB,2013-Feb,554393,M,West Midlands Region,A Level or Equivalent,20-30%,35-55,N,0,0,3,1,1,0,0,9,1,7,0,0,0,0,0,0,1,2,2,1,11,28,Fail
BBB,2013-Feb,554482,F,South Region,Lower Than A Level,90-100%,35-55,N,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,7,7,Withdrawn
BBB,2013-Feb,554512,F,London Region,A Level or Equivalent,40-50%,0-35,N,0,29,5,1,1,0,0,96,1,53,1,0,0,0,0,0,0,17,2,15,44,221,Withdrawn
BBB,2013-Feb,554545,M,Scotland,Lower Than A Level,60-70%,35-55,N,1,23,2,1,1,0,0,194,0,50,0,1,1,0,0,0,0,20,1,2,25,297,Withdrawn
BBB,2013-Feb,554551,F,South East Region,Lower Than A Level,50-60%,0-35,N,1,37,7,1,1,0,0,257,1,135,0,1,1,0,0,0,0,68,1,9,52,520,Fail
BBB,2013-Feb,554608,F,Wales,Lower Than A Level,60-70%,35-55,N,1,96,16,0,2,0,0,464,0,344,0,0,1,2,0,1,0,68,1,56,119,1052,Pass
BBB,2013-Feb,554637,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,N,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,8,8,Withdrawn
BBB,2013-Feb,554783,F,North Region,Lower Than A Level,10-20%,0-35,N,1,4,6,1,1,0,0,105,0,22,0,0,0,0,0,0,0,0,1,1,13,142,Withdrawn
BBB,2013-Feb,554795,F,South West Region,A Level or Equivalent,0-10%,35-55,N,0,42,12,0,2,0,1,93,0,141,0,0,0,1,1,0,0,79,2,35,77,409,Distinction
BBB,2013-Feb,554818,F,London Region,A Level or Equivalent,0-10%,0-35,N,0,3,3,1,1,0,1,1,1,9,0,0,0,0,0,0,0,1,2,1,17,24,Withdrawn
BBB,2013-Feb,554830,M,East Anglian Region,A Level or Equivalent,60-70%,35-55,N,0,129,16,1,1,1,0,180,1,135,0,0,1,0,0,0,0,62,2,59,67,588,Fail
BBB,2013-Feb,554894,F,East Anglian Region,Lower Than A Level,70-80%,0-35,N,1,13,11,1,1,1,0,2119,1,300,0,0,0,2,0,0,0,91,1,16,80,2558,Pass
BBB,2013-Feb,554898,F,Scotland,Lower Than A Level,20-30%,0-35,N,1,20,10,1,1,0,0,127,3,80,0,1,0,0,0,0,0,42,1,7,57,294,Fail
BBB,2013-Feb,554930,F,South East Region,Lower Than A Level,60-70%,35-55,N,1,38,15,0,2,0,0,217,0,111,0,0,2,0,0,0,0,73,1,15,58,475,Withdrawn
BBB,2013-Feb,554986,F,London Region,Lower Than A Level,20-30%,35-55,N,1,132,63,0,2,0,0,214,23,149,0,0,2,2,0,0,0,25,1,123,39,737,Fail
BBB,2013-Feb,554998,M,London Region,Lower Than A Level,30-40%,0-35,N,1,26,2,2,0,0,0,95,3,155,0,0,0,0,0,0,0,88,1,26,77,399,Pass
BBB,2013-Feb,555035,F,London Region,Lower Than A Level,0-10%,0-35,N,1,11,1,1,1,0,1,24,1,26,0,0,0,0,0,0,0,1,1,5,18,74,Withdrawn
BBB,2013-Feb,555059,F,East Midlands Region,HE Qualification,70-80%,0-35,N,0,26,4,1,1,0,1,361,0,139,0,0,0,11,0,0,0,75,1,5,77,625,Distinction
BBB,2013-Feb,555086,F,Yorkshire Region,A Level or Equivalent,60-70%,0-35,N,0,16,1,1,1,0,0,308,0,117,0,0,1,0,0,0,0,67,2,19,72,533,Pass
BBB,2013-Feb,555102,M,South Region,Lower Than A Level,80-90%,0-35,N,1,2,0,2,0,0,0,29,0,43,0,0,0,1,1,0,0,65,1,1,31,146,Pass
BBB,2013-Feb,555157,M,East Anglian Region,A Level or Equivalent,80-90%,0-35,N,0,0,1,2,0,1,0,4,0,10,0,0,0,0,1,0,0,34,2,1,16,56,Fail
BBB,2013-Feb,555263,F,South West Region,A Level or Equivalent,70-80%,0-35,N,0,50,6,1,1,0,0,465,0,152,0,0,0,1,1,0,0,91,2,14,77,784,Pass
BBB,2013-Feb,555309,M,Wales,A Level or Equivalent,50-60%,35-55,N,0,241,6,1,1,0,0,824,0,335,0,1,0,0,0,1,0,66,2,167,112,1645,Pass
BBB,2013-Feb,555407,F,Ireland,A Level or Equivalent,10-20%,0-35,N,0,30,5,1,1,0,0,124,0,43,0,0,0,0,0,0,0,56,2,20,43,282,Fail
BBB,2013-Feb,555414,F,North Western Region,Lower Than A Level,30-40%,0-35,N,1,40,18,1,1,0,0,213,0,194,1,0,0,0,0,0,0,74,1,17,88,561,Pass
BBB,2013-Feb,555552,F,London Region,Lower Than A Level,30-40%,0-35,Y,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,7,7,Withdrawn
BBB,2013-Feb,555627,M,Wales,Lower Than A Level,60-70%,0-35,N,1,7,1,2,0,0,0,35,0,20,0,0,1,0,0,1,0,0,1,2,17,71,Fail
BBB,2013-Feb,555667,F,West Midlands Region,HE Qualification,70-80%,0-35,N,0,61,12,1,1,0,0,199,0,183,0,0,0,1,0,0,1,72,1,34,96,566,Distinction
BBB,2013-Feb,555670,F,London Region,Lower Than A Level,50-60%,35-55,N,1,91,22,0,2,0,0,440,1,182,0,1,0,0,0,0,0,84,1,63,74,888,Pass
BBB,2013-Feb,555672,F,West Midlands Region,A Level or Equivalent,10-20%,0-35,N,0,96,14,1,1,0,0,438,0,179,0,0,0,0,0,0,1,91,2,60,93,883,Pass
BBB,2013-Feb,555673,F,East Anglian Region,Lower Than A Level,70-80%,0-35,N,1,164,8,1,1,1,0,844,0,380,0,0,0,8,0,0,0,100,1,100,110,1609,Fail
BBB,2013-Feb,555674,M,Yorkshire Region,A Level or Equivalent,80-90%,0-35,N,0,65,7,2,0,0,0,478,1,268,0,0,0,0,1,0,0,99,2,14,108,937,Distinction
BBB,2013-Feb,555675,F,Yorkshire Region,HE Qualification,30-40%,0-35,N,0,99,10,1,1,0,0,890,0,332,0,0,0,0,0,0,0,111,1,26,113,1471,Distinction
BBB,2013-Feb,555695,F,South East Region,A Level or Equivalent,60-70%,0-35,N,0,36,3,1,1,0,0,453,0,279,0,0,2,0,0,0,0,78,2,22,100,877,Pass
BBB,2013-Feb,555747,F,Scotland,Lower Than A Level,20-30%,0-35,Y,1,178,28,1,1,0,0,1131,2,538,0,1,0,1,0,0,0,160,0,80,145,2122,Pass
BBB,2013-Feb,555837,F,West Midlands Region,A Level or Equivalent,50-60%,35-55,N,0,12,2,0,2,0,0,6727,0,631,0,1,0,1,0,0,1,99,2,3,63,7481,Withdrawn
BBB,2013-Feb,555838,F,Wales,HE Qualification,60-70%,0-35,N,0,22,1,1,1,0,0,226,0,185,0,0,1,0,0,1,0,86,1,11,77,536,Pass
BBB,2013-Feb,555880,M,Scotland,Lower Than A Level,60-70%,0-35,Y,1,11,5,2,0,0,0,25,0,33,0,1,1,0,0,0,0,1,0,8,21,88,Fail
BBB,2013-Feb,555902,F,Scotland,A Level or Equivalent,70-80%,0-35,N,0,0,1,1,1,0,0,31,0,5,0,1,0,1,0,0,0,1,2,1,15,45,Fail
BBB,2013-Feb,555909,F,London Region,Lower Than A Level,10-20%,0-35,Y,1,3,3,1,1,0,0,115,1,31,0,0,0,0,0,0,0,14,0,2,18,172,Withdrawn
BBB,2013-Feb,555930,F,Ireland,Lower Than A Level,30-40%,35-55,N,1,101,25,0,2,0,0,991,5,209,0,0,0,0,0,0,0,38,1,31,42,1404,Fail
BBB,2013-Feb,555935,F,South Region,A Level or Equivalent,80-90%,0-35,N,0,3,1,1,1,0,0,51,0,21,0,0,0,1,1,0,0,30,2,1,29,113,Withdrawn
BBB,2013-Feb,555946,F,Yorkshire Region,Lower Than A Level,10-20%,0-35,N,1,25,4,1,1,0,0,197,0,112,0,0,0,0,0,0,0,62,1,18,62,422,Fail
BBB,2013-Feb,556077,M,Wales,A Level or Equivalent,10-20%,0-35,N,0,16,2,2,0,0,0,8,0,2,0,0,0,0,0,1,0,0,2,2,13,35,Withdrawn
BBB,2013-Feb,556138,F,East Midlands Region,HE Qualification,40-50%,35-55,N,0,0,4,0,2,0,1,67,2,27,1,0,0,0,0,0,0,36,1,2,24,143,Withdrawn
BBB,2013-Feb,556284,M,South Region,HE Qualification,90-100%,0-35,N,0,28,1,2,0,0,0,147,0,119,0,0,0,1,0,1,0,42,1,11,60,353,Pass
BBB,2013-Feb,556292,F,South Region,Lower Than A Level,80-90%,0-35,N,1,141,21,1,1,0,0,369,0,306,0,0,0,1,1,0,0,76,1,75,119,994,Distinction
BBB,2013-Feb,556301,F,South East Region,HE Qualification,70-80%,35-55,N,0,82,10,0,2,0,0,115,0,163,0,0,2,2,0,0,0,90,1,46,87,513,Pass
BBB,2013-Feb,556318,F,Scotland,Lower Than A Level,10-20%,0-35,N,1,0,0,1,1,0,0,25,0,9,0,1,0,0,0,0,0,0,1,1,11,40,Fail
BBB,2013-Feb,556349,F,South West Region,A Level or Equivalent,10-20%,0-35,N,0,44,3,1,1,0,0,17,0,61,0,0,0,0,1,0,0,78,2,41,46,249,Pass
BBB,2013-Feb,556481,F,London Region,A Level or Equivalent,40-50%,0-35,N,0,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,2,4,11,14,Withdrawn
BBB,2013-Feb,556502,F,Ireland,Lower Than A Level,10-20%,0-35,N,1,28,5,1,1,0,0,891,0,325,0,0,0,0,0,0,0,124,1,14,98,1391,Pass
BBB,2013-Feb,556553,F,South East Region,A Level or Equivalent,30-40%,0-35,N,0,52,18,1,1,0,0,212,0,116,0,0,1,0,0,0,0,88,2,21,67,512,Pass
BBB,2013-Feb,556568,F,East Anglian Region,Lower Than A Level,20-30%,0-35,N,1,28,10,1,1,1,0,13,1,28,0,0,0,0,0,0,0,20,1,3,27,108,Withdrawn
BBB,2013-Feb,556605,F,London Region,HE Qualification,50-60%,35-55,N,0,23,9,0,2,0,0,72,1,44,0,1,0,0,0,0,0,103,1,7,50,263,Pass
BBB,2013-Feb,556648,F,North Region,Lower Than A Level,10-20%,0-35,N,1,16,6,1,1,0,0,57,2,59,0,0,0,0,0,0,0,32,1,7,41,183,Fail
BBB,2013-Feb,556692,F,South Region,Lower Than A Level,20-30%,0-35,N,1,48,16,1,1,0,0,200,4,119,0,0,0,2,0,0,0,50,1,16,58,459,Withdrawn
BBB,2013-Feb,556840,F,South Region,A Level or Equivalent,90-100%,35-55,N,0,25,13,0,2,0,0,159,7,62,0,0,0,3,0,1,0,2,2,29,33,305,Withdrawn
BBB,2013-Feb,556860,F,South Region,A Level or Equivalent,90-100%,0-35,N,0,80,19,1,1,0,0,1125,2,297,0,0,0,1,0,0,1,80,2,38,99,1647,Fail
BBB,2013-Feb,556863,F,South West Region,A Level or Equivalent,20-30%,35-55,N,0,0,0,0,2,0,0,72,1,9,0,0,0,0,1,0,0,25,2,1,23,113,Withdrawn
BBB,2013-Feb,556865,F,South Region,A Level or Equivalent,90-100%,0-35,N,0,4,0,1,1,0,0,320,0,108,0,0,0,1,0,0,1,79,2,2,62,519,Pass
BBB,2013-Feb,556871,F,South Region,A Level or Equivalent,90-100%,0-35,N,0,36,8,1,1,0,0,658,1,269,0,0,0,1,0,0,1,109,2,9,94,1096,Distinction
BBB,2013-Feb,556876,F,South Region,A Level or Equivalent,90-100%,35-55,N,0,3,2,0,2,0,0,301,0,94,0,0,0,1,0,0,1,102,2,2,53,510,Distinction
BBB,2013-Feb,556877,F,South West Region,A Level or Equivalent,30-40%,35-55,N,0,10,3,0,2,0,0,205,1,76,0,0,0,0,1,0,0,17,2,2,36,319,Withdrawn
BBB,2013-Feb,556878,F,South West Region,Lower Than A Level,20-30%,0-35,N,1,38,8,1,1,0,0,599,1,164,0,0,0,0,1,0,0,117,1,23,88,955,Pass
BBB,2013-Feb,556882,F,South West Region,Lower Than A Level,30-40%,35-55,N,1,15,5,0,2,0,0,309,4,65,0,0,0,0,1,0,0,0,1,9,24,412,Withdrawn
BBB,2013-Feb,556883,F,South Region,A Level or Equivalent,90-100%,35-55,N,0,47,21,0,2,0,0,238,0,88,0,0,0,1,0,0,1,88,2,24,61,512,Pass
BBB,2013-Feb,556887,F,South Region,A Level or Equivalent,90-100%,35-55,N,0,24,6,0,2,0,0,133,0,55,0,0,0,1,0,0,1,88,2,23,60,335,Pass
BBB,2013-Feb,556892,F,South Region,A Level or Equivalent,90-100%,0-35,N,0,22,9,1,1,0,0,1314,0,264,0,0,0,2,0,0,1,159,2,19,97,1794,Pass
BBB,2013-Feb,556898,F,South Region,Lower Than A Level,90-100%,35-55,N,1,116,24,0,2,0,0,11148,3,2023,0,0,0,1,0,0,1,500,1,35,128,13855,Pass
BBB,2013-Feb,556959,F,South West Region,A Level or Equivalent,60-70%,0-35,N,0,18,9,1,1,0,0,414,0,138,0,0,1,2,1,0,0,82,2,17,94,686,Pass
BBB,2013-Feb,556986,F,South West Region,Lower Than A Level,30-40%,0-35,Y,1,7,1,1,1,0,0,67,0,19,0,0,0,0,1,0,0,1,0,4,18,103,Withdrawn
BBB,2013-Feb,556987,F,North Western Region,Lower Than A Level,0-10%,0-35,N,1,17,2,1,1,0,1,155,0,113,1,0,0,0,0,0,0,76,1,6,48,375,Fail
BBB,2013-Feb,556988,F,South West Region,Lower Than A Level,50-60%,0-35,N,1,6,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,9,14,Withdrawn
BBB,2013-Feb,556990,F,South West Region,Lower Than A Level,50-60%,35-55,N,1,30,3,0,2,0,0,58,0,52,0,1,0,0,1,0,0,103,1,14,48,266,Pass
BBB,2013-Feb,556992,F,South West Region,HE Qualification,70-80%,0-35,N,0,3,0,1,1,0,0,153,0,59,0,0,0,1,1,0,0,66,1,3,52,289,Pass
BBB,2013-Feb,556997,F,South West Region,A Level or Equivalent,10-20%,35-55,N,0,10,1,0,2,0,0,175,0,120,0,0,0,0,1,0,0,99,2,1,75,411,Pass
BBB,2013-Feb,556999,F,South West Region,HE Qualification,40-50%,0-35,N,0,5,2,1,1,0,0,118,0,54,1,0,0,0,1,0,0,84,1,9,63,277,Pass
BBB,2013-Feb,557006,F,South West Region,Lower Than A Level,20-30%,35-55,N,1,15,5,0,2,0,0,51,1,52,0,0,0,0,1,0,0,83,1,14,47,226,Pass
BBB,2013-Feb,557024,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,N,0,45,23,1,1,1,0,309,2,178,0,0,0,2,0,0,0,95,2,19,95,678,Pass
BBB,2013-Feb,557032,F,East Anglian Region,HE Qualification,80-90%,35-55,N,0,313,43,0,2,1,0,1527,1,447,0,0,0,0,1,0,0,107,1,158,142,2601,Distinction
BBB,2013-Feb,557057,M,South West Region,Lower Than A Level,40-50%,35-55,N,1,38,16,1,1,0,0,827,0,375,1,0,0,0,1,0,0,105,1,17,95,1384,Pass
BBB,2013-Feb,557060,F,South West Region,HE Qualification,20-30%,35-55,N,0,20,7,0,2,0,0,312,11,74,0,0,0,0,1,0,0,86,1,9,42,523,Pass
BBB,2013-Feb,557145,F,South West Region,A Level or Equivalent,40-50%,35-55,N,0,15,2,0,2,0,0,108,0,87,1,0,0,0,1,0,0,67,2,9,52,294,Fail
BBB,2013-Feb,557220,F,Wales,Lower Than A Level,0-10%,0-35,N,1,68,12,1,1,0,1,322,0,220,0,0,0,7,0,1,0,89,1,32,94,756,Pass
BBB,2013-Feb,557285,F,South Region,Lower Than A Level,70-80%,35-55,N,1,142,17,0,2,0,0,450,1,258,0,0,0,2,0,0,0,105,1,59,105,1038,Pass
BBB,2013-Feb,557308,F,North Region,A Level or Equivalent,10-20%,0-35,N,0,62,9,1,1,0,0,142,0,161,0,0,0,0,0,0,0,137,2,71,90,586,Fail
BBB,2013-Feb,557325,F,East Anglian Region,A Level or Equivalent,90-100%,0-35,N,0,9,1,1,1,1,0,269,0,79,0,0,0,0,0,1,0,38,2,1,46,403,Distinction
BBB,2013-Feb,557351,F,South West Region,A Level or Equivalent,50-60%,0-35,N,0,13,4,1,1,0,0,181,0,68,0,1,0,0,1,0,0,40,2,14,40,326,Fail
BBB,2013-Feb,557451,F,London Region,Lower Than A Level,0-10%,0-35,N,1,13,2,1,1,0,1,259,1,155,0,0,0,0,0,0,0,135,1,5,66,575,Fail
BBB,2013-Feb,557528,F,Yorkshire Region,Lower Than A Level,90-100%,0-35,N,1,34,5,1,1,0,0,466,0,184,0,0,0,0,0,1,0,70,1,11,71,775,Pass
BBB,2013-Feb,557594,F,East Midlands Region,A Level or Equivalent,80-90%,35-55,N,0,15,12,0,2,0,1,149,0,96,0,0,0,12,1,0,0,84,2,18,68,392,Pass
BBB,2013-Feb,557622,F,London Region,Lower Than A Level,10-20%,0-35,N,1,9,7,1,1,0,0,813,1,461,0,0,0,0,0,0,0,108,1,12,90,1415,Distinction
BBB,2013-Feb,557709,F,South West Region,A Level or Equivalent,60-70%,0-35,N,0,0,1,1,1,0,0,57,0,23,0,0,1,0,1,0,0,25,2,1,23,113,Withdrawn
BBB,2013-Feb,557758,F,East Midlands Region,Lower Than A Level,20-30%,35-55,N,2,98,20,0,2,0,1,9562,5,2204,0,0,0,0,0,0,0,118,1,42,131,12055,Pass
BBB,2013-Feb,557775,F,South East Region,HE Qualification,10-20%,0-35,N,0,18,5,1,1,0,0,1049,0,328,0,0,1,0,0,0,0,68,1,27,82,1499,Pass
BBB,2013-Feb,557827,F,North Western Region,A Level or Equivalent,30-40%,0-35,Y,0,11,8,1,1,0,0,380,0,125,1,0,0,0,0,0,0,79,1,4,60,611,Fail
BBB,2013-Feb,557935,F,Yorkshire Region,Lower Than A Level,0-10%,0-35,Y,1,17,3,1,1,0,1,21,0,56,0,0,0,0,0,0,0,18,0,22,26,141,Fail
BBB,2013-Feb,557938,F,London Region,No Formal quals,20-30%,0-35,N,0,7,0,1,1,0,0,1,2,3,0,0,0,0,0,0,0,3,1,3,12,22,Withdrawn
BBB,2013-Feb,557968,F,Wales,A Level or Equivalent,40-50%,0-35,N,0,11,0,1,1,0,0,184,0,73,1,0,0,0,0,1,0,87,2,9,58,370,Distinction
BBB,2013-Feb,557979,F,London Region,A Level or Equivalent,20-30%,0-35,N,0,11,1,1,1,0,0,13,2,29,0,0,0,0,0,0,0,41,2,5,27,106,Pass
BBB,2013-Feb,558024,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,N,0,33,13,1,1,0,0,87,1,95,0,0,0,0,0,0,1,89,2,24,61,347,Pass
BBB,2013-Feb,558040,F,Yorkshire Region,A Level or Equivalent,20-30%,0-35,N,0,27,2,1,1,0,0,57,2,60,0,0,0,1,0,0,0,67,2,20,66,240,Pass
BBB,2013-Feb,558042,F,Yorkshire Region,HE Qualification,40-50%,35-55,N,0,21,1,0,2,0,0,14,0,24,1,0,0,0,0,0,0,76,1,3,47,143,Distinction
BBB,2013-Feb,558066,F,South East Region,Lower Than A Level,20-30%,0-35,N,1,18,0,1,1,0,0,245,1,46,0,0,1,0,0,0,0,75,1,4,53,394,Distinction
BBB,2013-Feb,558068,F,South East Region,A Level or Equivalent,50-60%,0-35,N,0,31,6,1,1,0,0,95,0,38,0,1,1,0,0,0,0,159,2,11,52,346,Pass
BBB,2013-Feb,558075,F,West Midlands Region,Lower Than A Level,70-80%,0-35,N,1,6,2,1,1,0,0,30,0,88,0,0,0,1,0,0,1,234,1,5,48,371,Pass
BBB,2013-Feb,558092,F,Yorkshire Region,A Level or Equivalent,0-10%,0-35,Y,1,19,7,1,1,0,1,103,0,48,0,0,0,0,0,0,0,80,1,6,48,268,Fail
BBB,2013-Feb,558099,F,South East Region,A Level or Equivalent,40-50%,35-55,N,0,91,15,0,2,0,0,565,2,132,1,0,1,0,0,0,0,87,2,83,76,981,Distinction
BBB,2013-Feb,558113,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,N,0,34,12,1,1,1,0,680,0,200,0,0,0,0,1,0,0,64,2,3,75,999,Pass
BBB,2013-Feb,558114,F,East Anglian Region,Lower Than A Level,60-70%,0-35,N,1,21,5,1,1,1,0,36,0,103,0,0,1,0,0,0,0,25,1,9,40,205,Fail
BBB,2013-Feb,558146,F,South East Region,Lower Than A Level,50-60%,0-35,N,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,8,8,Withdrawn
BBB,2013-Feb,558163,F,South West Region,Lower Than A Level,70-80%,35-55,N,1,9,2,0,2,0,0,21,0,21,0,0,0,1,1,0,0,0,1,4,20,63,Withdrawn
BBB,2013-Feb,558168,F,Wales,A Level or Equivalent,20-30%,0-35,N,0,19,3,1,1,0,0,84,1,48,0,0,0,0,0,1,0,65,2,6,42,231,Pass
BBB,2013-Feb,558247,F,South West Region,Lower Than A Level,70-80%,0-35,N,1,17,5,1,1,0,0,60,0,56,0,0,0,1,1,0,0,81,1,7,36,232,Fail
BBB,2013-Feb,558250,F,East Midlands Region,Lower Than A Level,10-20%,0-35,N,1,11,6,1,1,0,1,2092,4,268,0,0,0,0,0,0,0,91,1,13,83,2490,Pass
BBB,2013-Feb,558324,M,South West Region,Lower Than A Level,70-80%,35-55,N,1,39,13,1,1,0,0,251,0,110,0,0,0,2,1,0,0,18,1,9,42,447,Withdrawn
BBB,2013-Feb,558373,M,East Midlands Region,A Level or Equivalent,40-50%,0-35,N,0,150,3,2,0,0,1,164,0,277,1,0,0,0,0,0,0,141,2,148,133,889,Distinction
BBB,2013-Feb,558435,F,Wales,HE Qualification,40-50%,0-35,N,0,69,1,1,1,0,0,283,0,169,1,0,0,0,0,1,0,75,1,41,92,643,Distinction
BBB,2013-Feb,558602,F,East Anglian Region,Lower Than A Level,30-40%,0-35,N,1,1,2,1,1,1,0,0,0,5,0,0,0,0,0,0,0,0,1,1,10,14,Fail
BBB,2013-Feb,558622,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,N,0,48,9,1,1,1,0,1444,0,395,0,0,0,1,0,0,0,98,2,28,105,2028,Pass
BBB,2013-Feb,558654,F,North Region,A Level or Equivalent,10-20%,0-35,N,0,7,2,1,1,0,0,28,0,17,0,0,0,0,0,0,0,0,2,4,16,62,Withdrawn
BBB,2013-Feb,558662,F,London Region,Lower Than A Level,20-30%,35-55,N,1,51,15,0,2,0,0,148,4,128,0,0,0,0,0,0,0,58,1,43,47,451,Fail
BBB,2013-Feb,558689,F,North Region,A Level or Equivalent,20-30%,0-35,N,0,12,2,1,1,0,0,134,3,92,0,0,0,0,0,0,0,80,2,7,52,334,Pass
BBB,2013-Feb,558701,F,South Region,A Level or Equivalent,40-50%,35-55,N,0,5,6,0,2,0,0,129,0,45,1,0,0,2,0,0,0,16,2,3,28,211,Withdrawn
BBB,2013-Feb,558703,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,N,0,11,10,1,1,0,1,75,1,49,1,0,2,1,0,0,0,40,2,2,25,197,Pass
BBB,2013-Feb,558747,F,London Region,A Level or Equivalent,10-20%,0-35,N,0,36,6,1,1,0,0,492,1,473,0,0,0,0,0,0,0,120,2,20,100,1152,Pass
BBB,2013-Feb,558769,F,Scotland,Lower Than A Level,30-40%,0-35,N,1,25,10,1,1,0,0,342,0,384,0,1,0,1,0,0,0,134,1,3,76,904,Fail
BBB,2013-Feb,558809,F,West Midlands Region,A Level or Equivalent,60-70%,0-35,N,0,17,7,1,1,0,0,773,0,227,0,0,1,0,0,0,1,14,2,5,43,1049,Fail
BBB,2013-Feb,558820,F,Scotland,Lower Than A Level,40-50%,0-35,N,1,130,6,1,1,0,0,199,0,263,1,1,0,1,0,0,0,100,1,97,115,802,Fail
BBB,2013-Feb,558903,F,East Midlands Region,HE Qualification,70-80%,0-35,N,0,10,2,1,1,0,1,22,0,20,0,0,0,1,0,0,0,31,1,4,27,94,Fail
BBB,2013-Feb,558955,F,South Region,A Level or Equivalent,90-100%,0-35,N,0,9,2,1,1,0,0,187,0,75,0,0,0,1,0,1,0,111,2,6,64,396,Fail
BBB,2013-Feb,558965,F,North Western Region,Lower Than A Level,80-90%,35-55,N,1,15,5,0,2,0,0,749,0,298,1,0,0,0,1,0,0,74,1,13,87,1160,Pass
BBB,2013-Feb,559011,F,West Midlands Region,Lower Than A Level,40-50%,0-35,N,1,5,6,1,1,0,0,35,0,26,1,0,0,0,0,0,1,35,1,2,17,115,Withdrawn
BBB,2013-Feb,559031,F,Scotland,Lower Than A Level,40-50%,0-35,N,1,23,0,1,1,0,0,256,0,91,1,1,0,0,0,0,0,59,1,14,66,449,Pass
BBB,2013-Feb,559173,F,North Region,A Level or Equivalent,0-10%,0-35,N,0,22,9,1,1,0,1,21,0,16,0,0,0,0,0,0,0,0,2,7,21,80,Fail
